구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,"3,034.95","3,980.64","4,907.55","5,397.13","5,047.46","4,988.7","5,118.98","4,072.12","4,614.26","3,995.58","3,253.8","3,243.29"
부산,"10,180.04","11,687.18","14,465.87","18,000","16,325.32","16,162.96","15,854.89","13,345.26","11,193.58","14,637.56","12,591.54","12,615.43"
대구,"7,612.01","8,604.72","10,252.53","12,445.39","11,973.45","11,773.01","12,303.42","9,821.7","8,793.14","10,527.74","8,680.15","8,980.62"
인천,"6,747.24","8,403.46","10,827.66","12,019.95","11,675.47","11,307.62","11,824.01","9,216.13","9,940.06","8,752.92","6,656.17","6,704.51"
광주,"10,735.14","16,070.55","23,853.83","27,073.72","26,813.96","26,115.24","24,456.06","22,480.3","19,551.06","22,569.82","16,417.78","14,562.32"
대전,"2,145.22","3,001.15","3,706.24","4,351.98","3,962.23","4,239.96","4,499.87","3,462.21","3,514.94","3,667.56","2,734.68","2,587.77"
울산,"5,691.22","6,663.84","7,711.13","9,333.92","8,745.09","8,291","8,204.16","6,654.68","5,791.38","7,202.58","6,580.49","6,708.67"
세종,"3,098.09","4,435.98","5,640.61","6,609.69","6,267.46","6,477.4","6,801.4","5,120.37","5,557.56","5,397.9","4,018.18","3,710.69"
경기,"66,523.6","85,818.9","112,186.93","126,270.27","121,221.03","124,620.6","133,500.53","101,920.7","109,705.69","98,706.69","76,210.66","76,515.11"
강원,"89,760.12","121,608.83","143,203.34","168,144.47","158,552.07","156,917.38","175,358.42","122,169.18","134,240.22","120,289.57","106,212.54","100,052.08"
충북,"61,316.35","84,643.68","100,554.36","118,854.3","108,564.65","115,896.28","124,219.07","91,880.61","95,600.73","94,230.99","71,593.58","72,795.18"
충남,"136,576.05","199,107.12","256,692.24","287,498.23","270,203.46","281,143.49","292,734.17","231,877.38","238,565.03","240,460.7","177,776.72","161,770.31"
전북,"184,955.52","267,519.54","348,507.61","405,703.06","374,247.37","390,917.09","384,938.36","335,551.95","309,053.44","347,598.79","256,878.87","245,924.04"
전남,"249,114.24","315,887.96","431,247.83","477,229.78","463,913.43","461,331.64","426,492.64","408,023.6","342,390.07","424,849.3","323,130.2","289,032"
경북,"159,584.82","196,270.79","223,080.02","269,293.25","246,557.16","251,676.68","270,590.29","203,893.68","196,891.68","222,632.27","194,007.8","205,144.06"
경남,"89,630.37","104,408.64","126,679.59","146,482.17","137,507.8","130,981.65","131,958.94","113,859.25","93,931.2","123,194.55","102,052.01","108,525.86"
제주,"28,458","39,122.74","50,554.02","62,271.94","63,255.08","55,365.53","48,299.79","48,465.67","42,301.38","55,062.66","45,098.05","35,164.68"
