노선명,면적,ac_annual,전력생산량 (1㎡ 당)
경강선,12028.0,2704571.927913,224.85632922455935
경부고속선,172574.0,39009560.62495,226.04541022952472
경부선,1440647.0,326826265.5888032,226.86075463927193
경의선(선로상부),76254.0,17141875.317688998,224.79968680579375
경전선,3417817.0,770848492.1747525,225.538257950836
경전선 추가,434361.0,95938295.9556417,220.8722605290109
경춘선,1486837.0,334356285.1075906,224.87756566966695
고속선(선로상부),21708.0,4977793.747218,229.30687982393587
대전남연결선,131855.0,29628683.318285,224.70655885848092
동해남부선,374609.0,83686168.0586163,223.3960424298837
동해중부 미건설선,2465277.0,543214723.5674406,220.34632358450617
문경선,4109.0,910732.0019100001,221.64322266001463
산재 유휴부지,334608.0,74734490.79980929,223.34938435365947
삼학도선,11511.0,2406762.9829434,209.08374450033878
수여선,79599.0,17773766.0525151,223.29132341505672
수인선,38634.0,8933904.180980999,231.2446078837552
수인선(선로상부),84005.0,18813348.7113077,223.95510637828343
영동선,617096.0,139104856.6854314,225.41850325627033
임항선,71922.0,16221393.90596,225.5414741798059
장항선,1507657.0,336604163.2694781,223.26309185012113
전라선,1440976.0,320754318.8684192,222.59518470010548
중앙선,2433205.0,552266489.4042896,226.97080163993152
태백선,230289.0,52633559.6878584,228.5543803128174
호남고속선,9463.0,2111483.925543,223.13050042724294
호남선,627629.0,137116845.9256534,218.46798972904915
