2021.03.28 기준,,,,,
연번,소 재 지,재산종류,면적(㎡),지목,비고
1,서울시 강남구 도곡동 산 28-8,토지,113,임야,
2,서울시 강남구 수서동 448-12,토지,220,잡종지,
3,서울시 강남구 수서동 465-9,토지,313,잡종지,
4,서울시 강남구 율현동 196-24,토지,36,잡종지,
5,서울시 강남구 율현동 196-96,토지,84,잡종지,
6,서울시 강남구 율현동 250-2,토지,32,잡종지,
7,서울시 강남구 율현동 308-1,토지,293,잡종지,
8,서울시 강남구 율현동 321-5,토지,16,잡종지,
9,서울시 강동구 둔촌동 579-1,토지,75,답,
10,서울시 강동구 둔촌동 579-2,토지,28,답,
11,서울시 강동구 명일동 334-22,토지,13.3,대,
12,서울시 강북구 미아동 163-8,토지,12.9,대,
13,서울시 강북구 미아동 352-0,토지,27,대,
14,서울시 강북구 수유동 486-1291,토지,46,대,
15,서울시 강북구 수유동 710-7,토지,33.5,대,
16,서울시 강서구 방화동 257-20,토지,1,대,
17,서울시 강서구 방화동 523-20,토지,17,대,
18,서울시 관악구 봉천동 1692-19,토지,173.5,대,
19,서울시 관악구 신림동 666-16,토지,55,대,
20,서울시 관악구 신림동 666-3,토지,50,대,
21,서울시 관악구 신림동 667-29,토지,81,대,
22,서울시 관악구 신림동 700-54,토지,54,대,
23,서울시 관악구 신림동 산 135-1,토지,11,임야,
24,서울시 구로구 가리봉동 131-44,토지,18.1,대,
25,서울시 구로구 개봉동 312-73,토지,5,도로,
26,서울시 구로구 구로동 166-29,토지,15,잡종지,
27,서울시 구로구 구로동 390-116,토지,5,대,
28,서울시 구로구 구로동 394-58,토지,53,대,
29,서울시 구로구 구로동 399-16,토지,23,대,
30,서울시 구로구 구로동 414-11,토지,2,대,
31,서울시 구로구 구로동 414-12,토지,2,대,
32,서울시 구로구 구로동 496-130,토지,7,도로,
33,서울시 구로구 구로동 565-8,토지,3,도로,
34,서울시 구로구 오류동 33-75,토지,6,대,
35,서울시 금천구 시흥동 253-19,토지,41,대,
36,서울시 금천구 시흥동 253-20,토지,40,대,
37,서울시 노원구 공릉동 120-11,토지,57.4,대,
38,서울시 노원구 상계동 107-487,토지,12,대,
39,서울시 노원구 월계동 910-0,토지,19,전,
40,서울시 노원구 중계동 172-8,토지,350,임야,
41,서울시 동작구 노량진동 314-16,토지,30,대,
42,서울시 동작구 사당동 324-1,토지,26,대,
43,서울시 동작구 상도1동 509-3,토지,4.6,대,
44,서울시 동작구 상도동 159-339,토지,32,대,
45,서울시 동작구 상도동 159-432,토지,129,대,
46,서울시 동작구 상도동 368-12,토지,1,대,
47,서울시 동작구 상도동 374-9,토지,16.3,대,
48,서울시 동작구 흑석동 287-16,토지,26.6,공원,
49,서울시 마포구 대흥동 463-2,토지,1,대,
50,서울시 마포구 도화동 1-349,토지,14.2,대,
51,서울시 마포구 상암동 1433-0,토지,5,대,
52,서울시 마포구 신수동 448-19,토지,1,대,
53,서울시 마포구 중동 58-44,토지,4,도로,
54,서울시 마포구 창전동 2-137,토지,2,대,
55,서울시 서대문구 현저동 101-388,토지,11,대,
56,서울시 서대문구 홍은동 산 11-163,토지,51,임야,
57,서울시 서초구 방배동 1-122,토지,291,대,
58,서울시 서초구 양재동 2-48,토지,18.5,대,
59,서울시 성동구 금호동3가 1351-279,토지,9,대,
60,서울시 성동구 금호동3가 242-0,토지,8.9,대,
61,서울시 성동구 금호동4가 1465-1,토지,190.4,대,
62,서울시 성동구 금호동4가 1482-0,토지,12.4,대,
63,서울시 성동구 행당동 128-323,토지,2,대,
64,서울시 성북구 길음동 938-17,토지,7.2,대,
65,서울시 성북구 안암동5가 산 1-41,토지,360,임야,
66,서울시 성북구 하월곡동 1-11,토지,31,대,
67,서울시 성북구 하월곡동 73-64,토지,377,임야,
68,서울시 성북구 하월곡동 81-315,토지,23,대,
69,서울시 성북구 하월곡동 96-245,토지,10,대,
70,서울시 송파구 마천동 322-25,토지,93,대,
71,서울시 영등포구 대림동 967-12,토지,2,대,
72,서울시 영등포구 영등포동 418-50,토지,14,대,
73,서울시 영등포구 영등포동7가 29-152,토지,2,대,
74,서울시 용산구 보광동 265-1198,토지,2,대,
75,서울시 용산구 신창동 82-37,토지,19.5,도로,
76,서울시 용산구 용산동2가 5-2130,토지,22.7,대,
77,서울시 용산구 원효로2가 85-15,토지,18.8,대,
78,서울시 용산구 청파동3가 118-204,토지,4.5,대,
79,서울시 용산구 한강로3가 37-0,토지,368.3,대,
80,서울시 용산구 후암동 244-161,토지,1.6,잡종지,
81,서울시 은평구 신사동 237-520,토지,10,대,
82,서울시 종로구 가회동 1-359,토지,18.5,도로,
83,서울시 종로구 사간동 100-0,토지,43.3,대,
84,서울시 종로구 사간동 122-3,토지,3.6,대,
85,서울시 종로구 숭인동 296-53,토지,3.9,대,
86,서울시 종로구 숭인동 296-54,토지,10,대,
87,서울시 종로구 숭인동 53-6,토지,17.7,대,
88,서울시 종로구 숭인동 56-209,토지,28.8,대,
89,서울시 종로구 신영동 142-7,토지,29,대,
90,서울시 종로구 재동 83-6,토지,25.3,대,
91,서울시 종로구 적선동 30-4,토지,6.6,대,
92,서울시 종로구 창신동 595-133,토지,46.3,대,
93,서울시 종로구 충신동 1-300,토지,14.9,대,
94,서울시 중구 신당동 488-3,토지,1,대,
95,서울시 중랑구 면목동 527-222,토지,126,대,
96,서울시 중랑구 면목동 647-18,토지,3.8,대,
97,서울시 중랑구 면목동 647-38,토지,0.4,대,
98,서울시 중랑구 신내동 70-7,토지,22,전,
99,서울시 관악구 신림동 808-324,토지,47,대,
100,서울시 관악구 신림동 808-730,토지,64,대,
101,서울시 관악구 신림동 808-731,토지,61,대,
102,서울시 강서구 염창동 259-13,토지,90.2,대,
103,서울시 노원구 상계동 1223-4,토지,24,대,
104,서울시 용산구 원효로4가 25-0,토지,1.3,대,
105,서울시 용산구 원효로4가 26-0,토지,1.2,대,
106,서울시 종로구 구기동 183-16,토지,8,대,
107,서울시 종로구 무악동 46-190,토지,4.4,대,
108,서울시 종로구 무악동 46-2011,토지,12.1,대,
109,서울시 종로구 행촌동 210-693,토지,6.6,대,
110,서울시 종로구 행촌동 210-807,토지,7.6,대,
111,서울시 중랑구 망우동 301-4,토지,322,답,
112,서울시 강남구 대치동 59-6,토지,261,대,
113,서울시 영등포구 문래동4가 21-21,토지,1.6,대,
114,서울시 영등포구 문래동4가 32-52,토지,5.3,대,
115,서울시 영등포구 문래동4가 32-59,토지,0.5,대,
116,서울시 영등포구 신길동 465-4,토지,6.9,대,
117,서울시 강서구 방화동 620-135,토지,2,대,
118,서울시 강서구 방화동 620-278,토지,10,대,
119,서울시 강서구 방화동 620-279,토지,13,대,
120,서울시 강서구 방화동 620-280,토지,12,대,
121,서울시 강서구 방화동 620-281,토지,2,대,
122,서울시 강서구 방화동 620-282,토지,2,대,
123,서울시 강서구 방화동 620-283,토지,14,대,
124,서울시 구로구 신도림동 419-59,토지,16,대,
125,서울시 중구 북창동 108-18,토지,47.3,대,
126,서울시 광진구 광장동 405-10,토지,156.4,대,
127,서울시 광진구 구의동 613-3,토지,2,대,
128,서울시 광진구 구의동 613-4,토지,69,대,
129,서울시 광진구 구의동 613-42,토지,40,대,
130,서울시 광진구 구의동 613-44,토지,27,대,
131,서울시 광진구 구의동 613-45,토지,88,대,
132,서울시 동대문구 용두동 129-34,토지,35,대,
133,서울시 동대문구 용두동 129-35,토지,12.2,대,
134,서울시 동대문구 이문동 264-438,토지,40.8,대,
135,서울시 동대문구 전농동 128-126,토지,56,대,
136,서울시 동대문구 제기동 135-130,토지,165.4,공원,
137,서울시 동대문구 제기동 135-131,토지,76,대,
138,서울시 동작구 본동 12-57,토지,38,대,
139,서울시 동작구 상도1동 323-7,토지,36,대,
140,서울시 동작구 상도동 159-424,토지,9,대,
141,서울시 동작구 상도동 376-10,토지,28,대,
142,서울시 성동구 마장동 382-45,토지,4.3,대,
143,서울시 강서구 방화동 30-14,토지,64,대,
144,서울시 성동구 성수동1가 671-167,토지,127,잡종지,
145,서울시 서초구 서초동 391,건물,29.4,유휴건물,소방학교(본부/경비실)
146,서울시 서초구 서초동 391,건물,2539.15,유휴건물,소방학교(본부/생활관)
147,서울시 서초구 서초동 391,건물,1230.88,유휴건물,소방학교(본부/훈련탑)
148,서울시 서초구 서초동 산36,건물,4152.07,유휴건물,소방학교(본관)
149,서울시 송파구 가락동  161,건물,5011.15,유휴건물,숙영시설
150,서울시 송파구 가락동  161,건물,136.5,유휴건물,경비실
151,서울시 송파구 가락동  161,건물,70,유휴건물,창고
